iter	RMSE
0	11.25765253
1	10.96526042
2	10.66885224
3	10.38646242
4	10.11660348
5	9.845067199
6	9.579352926
7	9.322788533
8	9.075656022
9	8.849283452
10	8.618266069
11	8.391448488
12	8.176263422
13	7.969376769
14	7.772538896
15	7.578986349
16	7.401025898
17	7.210169349
18	7.029161868
19	6.848258564
20	6.680477357
21	6.514097545
22	6.355208673
23	6.194262395
24	6.041914203
25	5.89698634
26	5.750998997
27	5.609710535
28	5.476927475
29	5.348686063
30	5.217160403
31	5.094689789
32	4.973281504
33	4.858657051
34	4.742930277
35	4.628690151
36	4.51873668
37	4.419340696
38	4.323346987
39	4.224264363
40	4.132262201
41	4.044216547
42	3.955032295
43	3.873940533
44	3.788368979
45	3.710432724
46	3.632065471
47	3.55679071
48	3.47953199
49	3.403718317
50	3.33746537
51	3.269224076
52	3.202485496
53	3.137051996
54	3.078897844
55	3.01973398
56	2.960046195
57	2.900310166
58	2.844532636
59	2.793537625
60	2.740144081
61	2.694653357
62	2.647179445
63	2.603284145
64	2.558281394
65	2.512986945
66	2.471382441
67	2.432329256
68	2.390625585
69	2.353927828
70	2.317968542
71	2.282999749
72	2.248753616
73	2.216139109
74	2.181154655
75	2.154180279
76	2.124450279
77	2.092902444
78	2.063339078
79	2.035431211
80	2.008618518
81	1.98249872
82	1.956859917
83	1.932158584
84	1.908201179
85	1.885404955
86	1.862630693
87	1.840435344
88	1.82044914
89	1.795786127
90	1.775997811
91	1.755051705
92	1.73572532
93	1.7171311
94	1.701210254
95	1.685271279
96	1.668128407
97	1.654721162
98	1.639564197
99	1.627399427
100	1.612130022
101	1.598460045
102	1.585912193
103	1.57324237
104	1.5622043
105	1.549071426
106	1.536671918
107	1.52522766
108	1.514476305
109	1.50364517
110	1.492117089
111	1.483664858
112	1.473609066
113	1.464111051
114	1.454688332
115	1.444520393
116	1.436999864
117	1.427964878
118	1.419591272
119	1.411468648
120	1.403540539
121	1.395527445
122	1.388315841
123	1.380801466
124	1.373522346
125	1.367920891
126	1.360139544
127	1.353756023
128	1.347275812
129	1.340303695
130	1.333658909
131	1.327283743
132	1.321157983
133	1.316531734
134	1.310567231
135	1.304268806
136	1.299038068
137	1.294098337
138	1.289153073
139	1.283194357
140	1.27817818
141	1.273167038
142	1.266410356
143	1.261171084
144	1.256685423
145	1.252117986
146	1.247426226
147	1.24409258
148	1.24027379
149	1.236227187
150	1.232372516
151	1.228696597
152	1.223952373
153	1.218398425
154	1.215126149
155	1.211621489
156	1.207953121
157	1.204012877
158	1.201123579
159	1.197313925
160	1.194079532
161	1.190859406
162	1.188598017
163	1.185143433
164	1.182369905
165	1.179346303
166	1.175690867
167	1.173189986
168	1.171038577
169	1.167725708
170	1.16497124
171	1.162493896
172	1.1601565
173	1.156430531
174	1.153231664
175	1.150677419
176	1.148372229
177	1.145233694
178	1.142543574
179	1.140180713
180	1.13678506
181	1.13410689
182	1.131740957
183	1.129375094
184	1.126969641
185	1.124081367
186	1.121916601
187	1.119181731
188	1.117148944
189	1.115829714
190	1.113506475
191	1.112226797
192	1.108569107
193	1.106518269
194	1.104369005
195	1.102182443
196	1.099763379
197	1.097261475
198	1.095237535
199	1.093566108
200	1.091904948
201	1.089963503
202	1.0874091
203	1.085257361
204	1.083426514
205	1.081427751
206	1.079871069
207	1.078131011
208	1.07668685
209	1.074659778
210	1.072565237
211	1.069276176
212	1.067708466
213	1.06604849
214	1.064098619
215	1.061712363
216	1.059987699
217	1.058250291
218	1.056172926
219	1.054767643
220	1.052462328
221	1.051007823
222	1.048793326
223	1.046952051
224	1.044806782
225	1.042756518
226	1.041128969
227	1.039742671
228	1.038391349
229	1.036200927
230	1.034684515
231	1.033447837
232	1.030962938
233	1.030034314
234	1.028183509
235	1.026376853
236	1.024633539
237	1.022946681
238	1.021629893
239	1.020049594
240	1.018980267
241	1.017015071
242	1.015961219
243	1.01492248
244	1.013006724
245	1.011625041
246	1.009615865
247	1.007318564
248	1.005774279
249	1.003948938
250	1.002534725
251	1.001794488
252	0.9996854246
253	0.9970300417
254	0.9961081537
255	0.9944119014
256	0.99292131
257	0.9916055379
258	0.99043096
259	0.988543372
260	0.9863797412
261	0.9848342337
262	0.9835893119
263	0.9821260234
264	0.9807582388
265	0.978898522
266	0.9776048748
267	0.9756227629
268	0.9742706965
269	0.9730219108
270	0.9716148153
271	0.9702706924
272	0.9685861972
273	0.9675492872
274	0.9658978707
275	0.9642068948
276	0.9631571278
277	0.9615847354
278	0.9597267469
279	0.9587628184
280	0.9561926655
281	0.9553371905
282	0.9544941863
283	0.9538011755
284	0.9529839354
285	0.9516190241
286	0.9505611188
287	0.9490105629
288	0.9482411099
289	0.9469443998
290	0.9450490206
291	0.9443043647
292	0.9435470085
293	0.9422637899
294	0.9414941287
295	0.940649038
296	0.9398743157
297	0.9379107808
298	0.9370536627
299	0.9352970978
300	0.9332256733
301	0.9320714016
302	0.9312619005
303	0.9303875636
304	0.9287660885
305	0.92788452
306	0.9272496968
307	0.9265507475
308	0.925550168
309	0.9232258507
310	0.9219769575
311	0.9195277385
312	0.9190639553
313	0.9172711744
314	0.9150351875
315	0.9146291773
316	0.9133602099
317	0.9124734199
318	0.9114089716
319	0.9105597583
320	0.908665839
321	0.9064990855
322	0.9058069171
323	0.9047208324
324	0.9040058826
325	0.9033557669
326	0.9030029423
327	0.9021952443
328	0.9014147905
329	0.8997510799
330	0.8987555
331	0.8978517197
332	0.8970608803
333	0.8949896234
334	0.893204363
335	0.8927115962
336	0.8920444662
337	0.8901757093
338	0.8881706043
339	0.887370676
340	0.8859237825
341	0.8852793424
342	0.8845476286
343	0.8834098684
344	0.8821575623
345	0.8813391326
346	0.8805078928
347	0.8802022905
348	0.8784932311
349	0.877146546
350	0.8767447808
351	0.8756245057
352	0.8748228439
353	0.8737090589
354	0.8733635033
355	0.8729155334
356	0.8718550159
357	0.8713054734
358	0.8705893559
359	0.8690343958
360	0.8682429279
361	0.8676103458
362	0.8671916916
363	0.8654398698
364	0.863892443
365	0.8622986531
366	0.8618851366
367	0.8607935287
368	0.8602571066
369	0.858851914
370	0.8583480219
371	0.8576458618
372	0.8569705921
373	0.8563147375
374	0.855814725
375	0.8553239041
376	0.8549969233
377	0.8533417847
378	0.8513335911
379	0.8510776847
380	0.8502354246
381	0.8497544703
382	0.849046482
383	0.848746966
384	0.8470566802
385	0.8465043908
386	0.8450061154
387	0.8438114946
388	0.843259443
389	0.8423399017
390	0.8410132661
391	0.8405369717
392	0.8390483982
393	0.8382287084
394	0.8378016966
395	0.8373613221
396	0.8353734538
397	0.8345096931
398	0.8340685131
399	0.8332409824
400	0.8326209845
401	0.8318013209
402	0.8314207431
403	0.830420658
404	0.8300232741
405	0.8294268134
406	0.8286855512
407	0.828407567
408	0.8277871172
409	0.8271686128
410	0.8258050771
411	0.8255129903
412	0.8250646174
413	0.8245105519
414	0.8234316377
415	0.8230347552
416	0.8223947412
417	0.8211867284
418	0.8206938679
419	0.8203204177
420	0.8195430741
421	0.8184382672
422	0.8178976485
423	0.8175187979
424	0.816025811
425	0.8146333279
426	0.8143160634
427	0.812948198
428	0.8117295285
429	0.8113464362
430	0.8101734125
431	0.8083697404
432	0.8070756196
433	0.8056057008
434	0.8045304213
435	0.8034580093
436	0.8021617401
437	0.8017743874
438	0.8007238816
439	0.798932772
440	0.7985119206
441	0.7979873411
442	0.7975863659
443	0.7970885444
444	0.7965139312
445	0.7960001773
446	0.7957659449
447	0.7951083484
448	0.7949092921
449	0.7937068284
450	0.7920162094
451	0.7914066802
452	0.7909173662
453	0.7898909967
454	0.7890433582
455	0.7873483641
456	0.7870529617
457	0.7857512795
458	0.7848629411
459	0.7842034662
460	0.7828555829
461	0.7824840411
462	0.7821799199
463	0.7817114161
464	0.7809032641
465	0.7799880091
466	0.7787698664
467	0.7773431204
468	0.7768726444
469	0.7755301115
470	0.7743973299
471	0.7736246822
472	0.7734193759
473	0.7728971774
474	0.7725478795
475	0.7715518733
476	0.7711686713
477	0.7708475193
478	0.7703528452
479	0.7691698333
480	0.7679934989
481	0.7670544163
482	0.7667106749
483	0.7663249881
484	0.7654940824
485	0.7651132455
486	0.7643019757
487	0.7634084406
488	0.763165916
489	0.7628680732
490	0.7615996249
491	0.7609276909
492	0.7602513826
493	0.7589607316
494	0.7582177792
495	0.7576405401
496	0.7571574556
497	0.7564147425
498	0.7556698213
499	0.7553785254
500	0.7541081683
501	0.7534899683
502	0.7531571108
503	0.7525973366
504	0.751970993
505	0.7508511032
506	0.7504963392
507	0.7502290985
508	0.7495620766
509	0.7484312599
510	0.7479433362
511	0.7471961097
512	0.7462542141
513	0.7456374212
514	0.7446124659
515	0.7430965889
516	0.7427290977
517	0.7425032595
518	0.7415843921
519	0.7412018693
520	0.7399883844
521	0.7397098585
522	0.7387447868
523	0.7378926661
524	0.7368276205
525	0.7365398392
526	0.7356425993
527	0.7350393766
528	0.7346568361
529	0.7332946036
530	0.7326642734
531	0.7319828073
532	0.7309299818
533	0.7300577608
534	0.7293812252
535	0.7288698426
536	0.7281214251
537	0.7274321229
538	0.7272286159
539	0.7263941979
540	0.7261369739
541	0.7258154385
542	0.7249668037
543	0.7243044311
544	0.7235094774
545	0.7226411897
546	0.7217778107
547	0.7214216902
548	0.7209873514
549	0.7203582666
550	0.7200574171
551	0.7196546899
552	0.7193873655
553	0.7190604624
554	0.7180033325
555	0.71792446
556	0.7169387435
557	0.7166107801
558	0.7162456087
559	0.7154601356
560	0.7148728549
561	0.7141245655
562	0.7138317622
563	0.7134637346
564	0.7125165145
565	0.7122466229
566	0.7112960266
567	0.7110706933
568	0.7105201331
569	0.7096031203
570	0.7088341244
571	0.7082870289
572	0.7076138057
573	0.7072793524
574	0.7069349839
575	0.7065219894
576	0.7054107705
577	0.7051774318
578	0.7049957098
579	0.7047689264
580	0.7042242051
581	0.7031547423
582	0.7023078943
583	0.7019289076
584	0.701252597
585	0.7006159468
586	0.7003436738
587	0.7000495396
588	0.6998398969
589	0.6995812832
590	0.6992474993
591	0.6987280912
592	0.6984197027
593	0.6981076177
594	0.6978672949
595	0.6976574765
596	0.6973971086
597	0.6968039131
598	0.6958654068
599	0.6953491283
600	0.6941406872
601	0.6940446974
602	0.6935420484
603	0.6927783309
604	0.6922777605
605	0.6915723552
606	0.6907066382
607	0.6901812021
608	0.6898540657
609	0.6890834539
610	0.6884564294
611	0.6883157268
612	0.6873120255
613	0.6871441505
614	0.6869918521
615	0.6867197017
616	0.6864334219
617	0.6862883835
618	0.6856129656
619	0.6851271659
620	0.6847580607
621	0.6844953479
622	0.6842088176
623	0.6836919959
624	0.6834268012
625	0.68313402
626	0.6823210394
627	0.6821029495
628	0.6813722636
629	0.6808500064
630	0.680450485
631	0.6798186426
632	0.6793538377
633	0.6790102124
634	0.6785719522
635	0.6783113372
636	0.67815034
637	0.6778914713
638	0.6777558747
639	0.6776018737
640	0.6770527842
641	0.6768050719
642	0.6759318507
643	0.6754188542
644	0.6746479979
645	0.6740830377
646	0.6736408701
647	0.6729597738
648	0.6725378436
649	0.6723965136
650	0.6716720586
651	0.6710677556
652	0.6708654594
653	0.6704098634
654	0.6700680052
655	0.6697223924
656	0.6692355097
657	0.6691064645
658	0.6689980939
659	0.6681042224
660	0.667638426
661	0.6674161172
662	0.6669846498
663	0.6665191227
664	0.6660205325
665	0.6655094507
666	0.6652572674
667	0.6650123532
668	0.6642656876
669	0.664090187
670	0.6632698922
671	0.6630618193
672	0.6623833213
673	0.6619300681
674	0.661417643
675	0.660974677
676	0.6606773985
677	0.6600103798
678	0.659824931
679	0.6597143139
680	0.6589292516
681	0.658344265
682	0.6581159805
683	0.6576384356
684	0.6570172404
685	0.6565587387
686	0.6560681675
687	0.6556513272
688	0.6551974649
689	0.6547083128
690	0.6544612645
691	0.6540272191
692	0.6534824294
693	0.6532437686
694	0.652649527
695	0.6521027667
696	0.6518258075
697	0.6516215386
698	0.6506481085
699	0.6501659283
700	0.6491696586
701	0.6485786157
702	0.6483465945
703	0.6481294409
704	0.6479176228
705	0.6476224699
706	0.6469867741
707	0.6463631689
708	0.6461316364
709	0.6458417021
710	0.6453984639
711	0.6449381843
712	0.6447712172
713	0.6445223886
714	0.6443206621
715	0.6436174981
716	0.6429600179
717	0.6425905099
718	0.6417856358
719	0.6408617387
720	0.6401375103
721	0.6397149169
722	0.6392043817
723	0.638898733
724	0.6386829475
725	0.6384916868
726	0.6379256285
727	0.6373490686
728	0.636903649
729	0.6366363444
730	0.6364630114
731	0.6361524576
732	0.6359312655
733	0.6357892037
734	0.6356537686
735	0.6354110881
736	0.6348512519
737	0.6345225213
738	0.6339403471
739	0.6337059222
740	0.6335291143
741	0.6332015058
742	0.632722656
743	0.6321729634
744	0.6315663663
745	0.6308282991
746	0.6301432493
747	0.6298654728
748	0.6294928704
749	0.6287215992
750	0.6283943294
751	0.6280992241
752	0.6277648224
753	0.6275716893
754	0.6268719678
755	0.6267631266
756	0.6264398092
757	0.6258591889
758	0.6255355199
759	0.6253031297
760	0.6251090058
761	0.6245751145
762	0.6242214924
763	0.6234262064
764	0.6230756313
765	0.6226749422
766	0.6220649154
767	0.6219524779
768	0.621838277
769	0.6213558063
770	0.6210135702
771	0.6208048487
772	0.6205886886
773	0.6204316502
774	0.6198251666
775	0.619554986
776	0.6192991419
777	0.618988741
778	0.6183390826
779	0.6179976076
780	0.6175630525
781	0.6169651284
782	0.6167818585
783	0.6159067698
784	0.6157853038
785	0.61561866
786	0.6151033664
787	0.6149480706
788	0.6147861364
789	0.6146344481
790	0.6143316196
791	0.6135577531
792	0.6134218396
793	0.6129464936
794	0.6124293657
795	0.6120453044
796	0.6118876334
797	0.6116671573
798	0.6112974591
799	0.6105065294
800	0.6103354461
801	0.6100871979
802	0.6098635942
803	0.6093171504
804	0.6091093371
805	0.6089384347
806	0.608581491
807	0.6084772893
808	0.607524148
809	0.6073863787
810	0.606868147
811	0.6066713443
812	0.6063716364
813	0.6060178146
814	0.6058082201
815	0.6052403025
816	0.6049314212
817	0.6047508114
818	0.6044853889
819	0.6043007049
820	0.6041745056
821	0.6035096477
822	0.6030758802
823	0.6028742778
824	0.6019702359
825	0.6013245417
826	0.6011893272
827	0.6010102003
828	0.600608026
829	0.6000912656
830	0.6000110177
831	0.5995457745
832	0.5994335476
833	0.5990012757
834	0.5988073842
835	0.598343265
836	0.5981505551
837	0.5977678716
838	0.5976595632
839	0.5975125931
840	0.597192861
841	0.5970850715
842	0.5967368207
843	0.5964190199
844	0.5957318806
845	0.5951306119
846	0.5950268057
847	0.5948379774
848	0.5947032721
849	0.5944710465
850	0.5943009789
851	0.5940068629
852	0.5938210512
853	0.5937049541
854	0.592774663
855	0.5923134881
856	0.5916146826
857	0.5914766984
858	0.5909580653
859	0.5908234859
860	0.5905796776
861	0.5905199226
862	0.5903974431
863	0.5896074295
864	0.5892233685
865	0.5886657187
866	0.5882679611
867	0.5878034039
868	0.5870850039
869	0.5869508008
870	0.5867246091
871	0.5863591379
872	0.5859032772
873	0.5853843205
874	0.5846184515
875	0.5839117034
876	0.5834315737
877	0.5830277995
878	0.5829051075
879	0.5825365803
880	0.5820332997
881	0.5819338893
882	0.5815815967
883	0.5810787765
884	0.5806141212
885	0.5804899056
886	0.5802269052
887	0.580156161
888	0.5800921817
889	0.5800112489
890	0.5796218799
891	0.579188318
892	0.57893812
893	0.5784433382
894	0.5783261841
895	0.5778599801
896	0.5773264278
897	0.5765622305
898	0.5758417784
899	0.5756931386
900	0.5756020675
901	0.5751230017
902	0.5750307358
903	0.57463102
904	0.5745138587
905	0.5740401687
906	0.5734630281
907	0.5730732508
908	0.5721464747
909	0.5716312525
910	0.5715517887
911	0.571470708
912	0.5708579553
913	0.5707692135
914	0.5700962197
915	0.5693058446
916	0.5692322403
917	0.5687236721
918	0.5686365659
919	0.5681379077
920	0.568035591
921	0.5673155083
922	0.5672426518
923	0.5669048693
924	0.5666636736
925	0.5662460407
926	0.5660535404
927	0.56565662
928	0.5655946315
929	0.5653325118
930	0.5649445755
931	0.5645999083
932	0.5641936353
933	0.563809289
934	0.5637153931
935	0.5633227771
936	0.5629122075
937	0.5625514045
938	0.5624866235
939	0.562204453
940	0.5621324839
941	0.5620105381
942	0.561685453
943	0.5612489215
